allele	status	v15_system	current_system	v15_phenotype	current_phenotype
FUT3*01N.03.09	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.10	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.11	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.03.12	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.02	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.03	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.04	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.05	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.06	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.07	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.08	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.09	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.10	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.11	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.12	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.13	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.14	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.15	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.16	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.17	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.18	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.19	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.20	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.21	added	LE		FUT3 Inactive - Le(a-b-)	
FUT3*01N.17.22	added	LE		FUT3 Inactive - Le(a-b-)	
FY*01N.10	added	FY		Fy(a-b-)	
FY*01N.11	added	FY		Fy(a-b-)	
FY*02.01	added	FY		FY:-2,3	
FY*02N.07	added	FY		Fy(a-b-)	
FY*02N.08	added	FY		Fy(a-b-)	
FY*02N.09	added	FY		Fy(a-b-)	
FY*02N.10	added	FY		Fy(a-b-)	
FY*02W.05	added	FY		Fy(b+w)	
GBGT1*01N.03	added	FORS		FORS:-1 (FORS-)	
GBGT1*01N.04	added	FORS		FORS:-1 (FORS-)	
GBGT1.01.01	added	FORS		FORS:1 (FORS+)	
GBGT1.01.02	added	FORS		FORS:1 (FORS+)	
GCNT2*01.02	added	I		I	
GCNT2*01N.06	added	I		I- (adult)	
GCNT2*01N.09	added	I		I- (adult)	
GCNT2*01N.10	added	I		I- (adult)	
GCNT2*01W.04	added	I		I:1weak or I+W	
GE*01.-02.01	added	GE		GE:-2,3,4 or Yus type	
GE*01.-02.02	added	GE		GE:-2,3,4 or Yus type	
GE*01.-02.03	added	GE		GE:-2,3,4 or Yus type	
GE*01.-02.04	added	GE		GE:-2,3,4 or Yus type	
GE*01.-03.01	added	GE		GE:-2,-3,4 or Gerbich type	
GE*01.-03.02	added	GE		GE:-2,-3,4 or Gerbich type	
GE*01.-03.03	added	GE		GE:-2,-3,4 or Gerbich type	
GE*01.-13	added	GE		GE:-13 or GECT-	
GE*01.-14	added	GE		GE:-14 or GEAR-	
GE*01.06.01	added	GE		GE:6 or Ls(a+)	
GE*01.06.02	added	GE		GE:6 or Ls(a+)	
GE*01N.01	added	GE		GE:-2,-3,-4 or Leach type (PL)	
GIL*01N.02	added	GIL		GIL:−1 or GIL−	
GLOB*01.02	added	GLOB		GLOB:1 (P+)	
GLOB*01N.10	added	GLOB		GLOB:–1 (P–)	
GLOB*01N.13	added	GLOB		GLOB:–1 (P–)	
